Customer_ID,Age,Orders,Total_Amount,Customer_Type,Churn,Last_Login_Days
C001,21,4,500,Enterprise,No,3
C002,34,-2,800,enterprise,Yes,25
C003,,7,1200,ENT,No,2
C004,29,3,650,Standard,No,5
C005,45,1,300,Standard,Yes,40
C006,31,8,1500,Enterprise,No,4
C007,27,0,0,Standard,Yes,60
C008,52,6,2100,ENT,No,7
C009,38,4,950,Enterprise,Yes,32
C010,24,2,400,standard,No,6
C011,41,9,1800,Enterprise,No,3
C012,36,3,700,Standard,Yes,28
C013,22,5,900,ENT,No,4
C014,48,2,450,Enterprise,Yes,45
C015,33,7,1300,Standard,No,8
C016,29,,800,Standard,No,6
C017,55,1,250,Enterprise,Yes,52
C018,26,6,1100,ENT,No,5
C019,39,4,1000,Enterprise,Yes,35
C020,44,3,750,Standard,No,9
C021,31,5,1250,Enterprise,No,4
C022,28,-1,500,Standard,Yes,31
C023,50,2,600,ENT,Yes,48
C024,35,8,1600,Enterprise,No,3
C025,23,4,850,Standard,No,7
C026,47,1,200,Enterprise,Yes,55
C027,32,6,1400,ENT,No,5
C028,37,3,700,Standard,Yes,29
C029,25,5,1000,Enterprise,No,4
C030,43,2,450,standard,Yes,38
C031,30,7,1550,ENT,No,6
C032,54,1,300,Enterprise,Yes,50
C033,27,4,800,Standard,No,8
C034,40,6,1350,Enterprise,No,5
C035,36,2,500,Standard,Yes,33
C036,49,3,700,ENT,Yes,42
C037,21,6,1150,Standard,No,3
C038,33,5,1050,Enterprise,No,6
C039,46,1,250,Standard,Yes,47
C040,29,8,1700,ENT,No,4
C041,38,3,650,Enterprise,Yes,30
C042,42,5,1200,Standard,No,7
C043,26,4,900,Enterprise,No,5
C044,51,2,400,ENT,Yes,44
C045,34,6,1450,Standard,No,6
C046,28,3,700,Enterprise,No,4
C047,45,1,150,Standard,Yes,58
C048,31,7,1500,ENT,No,5
C049,39,4,950,Enterprise,Yes,34
C050,24,5,1000,Standard,No,7
C050,24,5,1000,Standard,No,7
